Player,Pos,Age,Tm,G,GS,MP,FG,FGA
Trey Burke,PG,26,DAL,25,1,17.4,3.5,7.6
Alec Burks,SG,27,TOT,64,24,21.5,3.0,7.4
Alec Burks,SG,27,UTA,17,0,15.8,2.8,6.7
Alec Burks,SG,27,CLE,34,24,28.8,4.0,10.0
Alec Burks,SG,27,SAC,13,0,9.8,0.7,1.5
Deonte Burton,SG,25,OKC,32,0,7.5,1.0,2.6
Jimmy Butler,SG,29,MIN,10,10,36.1,7.4,15.7
Jimmy Butler,SF,29,PHI,55,55,33.2,6.3,13.6
Bruno Caboclo,PF,23,MEM,34,19,23.5,2.8,6.6
José Calderón,PG,37,DET,49,0,12.9,0.9,2.4
Kentavious Caldwell-Pope,SG,25,LAL,82,23,24.8,4.0,9.2
Isaiah Canaan,PG,27,TOT,30,16,21.0,2.1,5.5
Isaiah Canaan,PG,27,PHO,19,15,26.5,2.7,6.8
Isaiah Canaan,PG,27,MIN,7,1,13.6,1.6,4.1
Isaiah Canaan,PG,27,MIL,4,0,7.8,0.5,1.5
Clint Capela,C,24,HOU,67,67,33.6,7.1,10.9
DeMarre Carroll,PF,32,BRK,67,8,25.4,3.4,8.6
Jevon Carter,PG,23,MEM,39,3,14.8,1.4,4.7
Vince Carter,PF,42,ATL,76,9,17.5,2.6,6.2
Wendell Carter Jr.,C,19,CHI,44,44,25.2,4.1,8.4
Michael Carter-Williams,PG,27,TOT,28,1,13.3,1.6,4.4
Michael Carter-Williams,PG,27,HOU,16,1,9.1,1.6,3.8
Michael Carter-Williams,PG,27,ORL,12,0,18.9,1.8,5.2
Alex Caruso,PG,24,LAL,25,4,21.2,3.1,6.9
Omri Casspi,SF,30,MEM,36,0,14.4,2.4,4.5
Willie Cauley-Stein,C,25,SAC,81,81,27.3,5.1,9.1
Troy Caupain,PG,23,ORL,4,0,4.0,1.0,2.0
Tyler Cavanaugh,PF,24,UTA,11,0,3.5,0.3,0.9
Tyson Chandler,C,36,TOT,55,6,15.9,1.1,1.8
Tyson Chandler,C,36,PHO,7,0,12.7,1.1,1.7
Tyson Chandler,C,36,LAL,48,6,16.4,1.1,1.8
Wilson Chandler,PF,31,PHI,36,32,26.4,2.5,5.8
Joe Chealey,PG,23,CHO,1,0,8.0,1.0,3.0
Chris Chiozza,PG,23,HOU,7,0,4.7,0.3,1.1
Marquese Chriss,PF,21,TOT,43,2,11.6,1.6,4.2
Marquese Chriss,PF,21,HOU,16,0,6.5,0.7,2.1
Marquese Chriss,PF,21,CLE,27,2,14.6,2.1,5.4
Gary Clark,PF,24,HOU,51,2,12.6,1.0,3.0
Ian Clark,SG,27,NOP,60,6,16.2,2.5,6.4
Jordan Clarkson,SG,26,CLE,81,0,27.3,6.5,14.6
John Collins,PF,21,ATL,61,59,30.0,7.6,13.6
Zach Collins,C,21,POR,77,0,17.6,2.5,5.2
Darren Collison,PG,31,IND,76,76,28.2,4.1,8.7
Bonzie Colson,SF,23,MIL,8,2,12.3,1.6,4.9
Mike Conley,PG,31,MEM,70,70,33.5,7.0,16.0
Pat Connaughton,SG,26,MIL,61,2,20.7,2.7,5.7
Quinn Cook,PG,25,GSW,74,10,14.3,2.8,5.9
DeMarcus Cousins,C,28,GSW,30,30,25.7,5.9,12.4
Robert Covington,SF,28,TOT,35,35,34.4,4.5,10.3
Robert Covington,SF,28,PHI,13,13,33.8,3.8,9.0
Robert Covington,SF,28,MIN,22,22,34.7,4.8,11.1
Allen Crabbe,SG,26,BRK,43,20,26.3,3.2,8.7
Torrey Craig,SF,28,DEN,75,37,20.0,2.1,4.8
Jamal Crawford,SG,38,PHO,64,0,18.9,2.7,6.8
Mitch Creek,SF,26,TOT,5,0,9.6,1.6,3.2
Mitch Creek,SF,26,BRK,4,0,9.0,1.3,2.5
Mitch Creek,SF,26,MIN,1,0,12.0,3.0,6.0
Jae Crowder,SF,28,UTA,80,11,27.1,4.0,10.0
Dante Cunningham,PF,31,SAS,64,21,14.5,1.2,2.5
Seth Curry,SG,28,POR,74,2,18.9,2.9,6.3
Stephen Curry,PG,30,GSW,69,69,33.8,9.2,19.4
Troy Daniels,SG,27,PHO,51,1,14.9,2.2,5.4
Anthony Davis,C,25,NOP,56,56,33.0,9.5,18.3
Deyonta Davis,C,22,ATL,9,0,13.1,1.7,2.4
Ed Davis,C,29,BRK,81,1,17.9,2.3,3.7
Tyler Davis,C,21,OKC,1,0,1.0,0.0,1.0
Dewayne Dedmon,C,29,ATL,64,52,25.1,4.0,8.2
Sam Dekker,PF,24,TOT,47,5,16.8,2.6,5.4
Sam Dekker,PF,24,CLE,9,5,18.8,2.4,5.3
Sam Dekker,PF,24,WAS,38,0,16.3,2.6,5.5
Matthew Dellavedova,PG,28,TOT,48,0,16.9,2.0,5.0
Matthew Dellavedova,PG,28,MIL,12,0,8.1,0.5,1.6
Matthew Dellavedova,PG,28,CLE,36,0,19.9,2.6,6.2
Luol Deng,SF,33,MIN,22,2,17.8,2.7,5.4
DeMar DeRozan,SG,29,SAS,77,77,34.9,8.2,17.1
Marcus Derrickson,PF,22,GSW,11,0,6.1,1.5,3.0
Cheick Diallo,PF,22,NOP,64,1,14.0,2.6,4.2
Hamidou Diallo,SG,20,OKC,51,3,10.3,1.5,3.2
Gorgui Dieng,C,29,MIN,76,2,13.6,2.5,5.0
Spencer Dinwiddie,PG,25,BRK,68,4,28.1,5.4,12.2
Donte DiVincenzo,SG,22,MIL,27,0,15.2,1.9,4.6
Luka Dončić,SG,19,DAL,72,72,32.2,7.0,16.5
Tyler Dorsey,SG,22,TOT,48,11,14.5,2.2,5.5
Tyler Dorsey,SG,22,ATL,27,0,9.3,1.2,3.3
Tyler Dorsey,SG,22,MEM,21,11,21.3,3.6,8.3
Damyean Dotson,SG,24,NYK,73,40,27.5,4.0,9.6
PJ Dozier,SG,22,BOS,6,0,8.5,1.3,3.5
Goran Dragić,PG,32,MIA,36,22,27.5,5.0,12.0
Andre Drummond,C,25,DET,79,79,33.5,7.1,13.3
Jared Dudley,PF,33,BRK,59,25,20.7,1.7,4.1
Kris Dunn,PG,24,CHI,46,44,30.2,4.7,11.0
Kevin Durant,SF,30,GSW,78,78,34.6,9.2,17.7
Trevon Duval,PG,20,MIL,3,0,2.0,0.7,1.0
Vince Edwards,SF,22,HOU,2,0,8.0,0.5,2.0
Henry Ellenson,PF,22,TOT,19,0,13.6,2.1,5.0
Henry Ellenson,PF,22,DET,2,0,12.5,2.0,5.0
Henry Ellenson,PF,22,NYK,17,0,13.8,2.1,5.0
Wayne Ellington,SG,31,TOT,53,38,24.5,3.5,8.6
Wayne Ellington,SG,31,MIA,25,12,21.3,2.8,7.4
Wayne Ellington,SG,31,DET,28,26,27.3,4.1,9.8
Joel Embiid,C,24,PHI,64,64,33.7,9.1,18.7
James Ennis III,SF,28,TOT,58,27,21.2,2.4,5.1
James Ennis III,SF,28,HOU,40,25,23.7,2.6,5.3
James Ennis III,SF,28,PHI,18,2,15.6,1.9,4.6
Drew Eubanks,PF,21,SAS,23,0,4.9,0.7,1.1
Jacob Evans,SG,21,GSW,30,1,6.8,0.6,1.8
Jawun Evans,PG,22,TOT,8,0,8.1,0.4,1.8
Jawun Evans,PG,22,PHO,7,0,9.1,0.4,1.9
Jawun Evans,PG,22,OKC,1,0,1.0,0.0,1.0
Tyreke Evans,SG,29,IND,69,18,20.3,3.7,9.6
Dante Exum,PG,23,UTA,42,1,15.8,2.4,5.7
Kenneth Faried,C,29,TOT,37,13,19.7,4.2,7.2
Kenneth Faried,C,29,BRK,12,0,9.8,2.1,3.5
Kenneth Faried,C,29,HOU,25,13,24.4,5.2,8.9
Derrick Favors,C,27,UTA,76,70,23.2,4.8,8.1
Cristiano Felício,C,26,CHI,60,0,12.4,1.6,3.0
Raymond Felton,PG,34,OKC,33,0,11.5,1.7,4.1
Terrance Ferguson,SG,20,OKC,74,74,26.1,2.5,5.8
Yogi Ferrell,PG,25,SAC,71,3,15.0,2.2,5.0
Dorian Finney-Smith,SF,25,DAL,81,26,24.5,2.8,6.5
Bryn Forbes,SG,25,SAS,82,81,28.0,4.4,9.6
Evan Fournier,SG,26,ORL,81,81,31.5,5.8,13.2
De'Aaron Fox,PG,21,SAC,81,81,31.4,6.2,13.6
Melvin Frazier,SG,22,ORL,10,0,4.4,0.7,2.1
Tim Frazier,PG,28,TOT,59,19,19.0,2.0,4.4
Tim Frazier,PG,28,NOP,47,17,19.3,1.9,4.1
Tim Frazier,PG,28,MIL,12,2,17.6,2.3,5.5
Jimmer Fredette,SG,29,PHO,6,0,10.8,1.3,4.8
Enes Freedom,C,26,TOT,67,31,24.5,5.6,10.2
Enes Freedom,C,26,NYK,44,23,25.6,5.7,10.6
Enes Freedom,C,26,POR,23,8,22.3,5.4,9.3
